source_row_id,spreadsheet_row,occurred_at,customer_id,adjustment_type,amount,currency,reason,approval_status,updated_at
MANB0011,12,2026-05-21T09:30:00Z,CUST034,revenue_addition,35.00,GBP,Finance-approved manual correction,approved,2026-05-25T14:00:00Z
MANB0001,2,2026-01-11T09:30:00Z,CUST004,revenue_addition,15.00,EUR,Finance-approved manual correction,approved,2026-01-25T14:00:00Z
MANB0005,6,2026-05-15T09:30:00Z,CUST016,revenue_addition,23.00,GBP,Finance-approved manual correction,approved,2026-05-25T14:00:00Z
MANB0022,41,2026-05-18T08:00:00Z,CUST026,revenue_addition,50.00,IDR,Currency absent from supplied FX table,approved,2026-05-19T08:00:00Z
MANB0002,3,2026-02-12T09:30:00Z,CUST007,revenue_addition,17.00,GBP,Finance-approved manual correction,approved,2026-02-25T14:00:00Z
MANB0006,7,2026-06-16T09:30:00Z,CUST019,revenue_addition,25.00,USD,Finance-approved manual correction,approved,2026-06-25T14:00:00Z
MANB0017,18,2026-05-12T09:30:00Z,CUST052,revenue_addition,47.00,GBP,Finance-approved manual correction,approved,2026-05-25T14:00:00Z
MANB0013,14,2026-01-23T09:30:00Z,CUST040,revenue_addition,48.00,EUR,Corrected after Finance review,approved,2026-01-25T18:30:00Z
MANB0011,12,2026-05-21T09:30:00Z,CUST034,revenue_addition,35.00,GBP,Finance-approved manual correction,approved,2026-05-25T14:00:00Z
MANB0005,6,2026-05-15T09:30:00Z,CUST016,revenue_addition,32.00,GBP,Corrected after Finance review,approved,2026-05-25T18:30:00Z
MANB0010,11,2026-04-20T09:30:00Z,CUST031,revenue_addition,33.00,EUR,Finance-approved manual correction,approved,2026-04-25T14:00:00Z
MANB0009,10,2026-03-19T09:30:00Z,CUST028,revenue_addition,31.00,USD,Finance-approved manual correction,approved,2026-03-25T14:00:00Z
MANB0014,15,2026-02-24T09:30:00Z,CUST043,refund,41.00,GBP,Finance-approved manual correction,approved,2026-02-25T14:00:00Z
MANB0004,5,2026-04-14T09:30:00Z,CUST013,revenue_addition,21.00,EUR,"Finance-approved manual correction, reviewed by controller",approved,2026-04-25T14:00:00Z
MANB0003,4,2026-03-13T09:30:00Z,CUST010,revenue_addition,19.00,USD,Finance-approved manual correction,approved,2026-03-25T14:00:00Z
MANB0012,13,2026-06-22T09:30:00Z,CUST037,revenue_addition,37.00,USD,Finance-approved manual correction,approved,2026-06-25T14:00:00Z
MANB0013,14,2026-01-23T09:30:00Z,CUST040,revenue_addition,39.00,EUR,Finance-approved manual correction,approved,2026-01-25T14:00:00Z
MANB0015,16,2026-03-10T09:30:00Z,CUST046,revenue_addition,43.00,USD,Finance-approved manual correction,approved,2026-03-25T14:00:00Z
MANB0019,30,2026-04-12T08:00:00Z,CUST021,revenue_addition,100.00,USD,Pending approval,pending,2026-04-13T08:00:00Z
MANB0020,31,2026-05-12T08:00:00Z,CUST022,revenue_addition,100.00,USD,Pending approval,pending,2026-05-13T08:00:00Z
MANB0003,4,2026-03-13T09:30:00Z,CUST010,revenue_addition,19.00,USD,Finance-approved manual correction,approved,2026-03-25T14:00:00Z
MANB0023,42,2026-06-18T08:00:00Z,UNKNOWN99,revenue_addition,55.00,USD,Customer not found,approved,2026-06-19T08:00:00Z
MANB0018,19,2026-06-13T09:30:00Z,CUST055,revenue_addition,49.00,USD,Finance-approved manual correction,approved,2026-06-25T14:00:00Z
   ,43,2026-06-20T08:00:00Z,CUST027,revenue_addition,60.00,USD,Stable source key contains whitespace only,approved,2026-06-21T08:00:00Z
,40,2026-05-15T08:00:00Z,CUST025,revenue_addition,45.00,USD,Missing stable source key,approved,2026-05-16T08:00:00Z
MANB0008,9,2026-02-18T09:30:00Z,CUST025,revenue_addition,29.00,GBP,Finance-approved manual correction,approved,2026-02-25T14:00:00Z
MANB0016,17,2026-04-11T09:30:00Z,CUST049,revenue_addition,45.00,EUR,Finance-approved manual correction,approved,2026-04-25T14:00:00Z
MANB0016,17,2026-04-11T09:30:00Z,CUST049,revenue_addition,45.00,EUR,Approval revoked after Finance review,rejected,2026-04-25T20:00:00Z
MANB0007,8,2026-01-17T09:30:00Z,CUST022,refund,27.00,EUR,Finance-approved manual correction,approved,2026-01-25T14:00:00Z
MANB0025,45,2026-06-27T09:30:00Z,CUST001,revenue_addition,41.00,USD,Conflicting Finance correction pending decision,approved,2026-06-28T14:00:00Z
MANB0025,45,2026-06-27T09:30:00Z,CUST001,refund,41.00,USD,Conflicting Finance correction pending decision,approved,2026-06-28T14:00:00Z
